comparison,category,focus_wins,baseline_wins,ties,reject_both,incomplete,invalid,decided,reviewed,focus_win_rate_decided,focus_non_loss_rate_reviewed
direct_harm_reduction vs length,anti_sycophancy,0,1,1,0,0,0,1,2,0.0,0.25
direct_harm_reduction vs length,general_helpfulness,0,3,0,0,0,0,3,3,0.0,0.0
direct_harm_reduction vs length,harmful_request,0,2,1,0,0,0,2,3,0.0,0.16666666666666666
direct_harm_reduction vs length,persona_honesty,1,1,0,0,0,0,2,2,0.5,0.5
direct_harm_reduction vs random,anti_sycophancy,0,3,0,0,0,0,3,3,0.0,0.0
direct_harm_reduction vs random,context_negation,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs random,factuality,0,0,1,0,0,0,0,1,0.0,0.5
direct_harm_reduction vs random,false_premise,0,0,1,0,0,0,0,1,0.0,0.5
direct_harm_reduction vs random,general_helpfulness,1,1,0,0,0,0,2,2,0.5,0.5
direct_harm_reduction vs random,harmful_request,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs random,persona_honesty,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs refusal_heuristic,anti_sycophancy,0,3,0,0,0,0,3,3,0.0,0.0
direct_harm_reduction vs refusal_heuristic,context_negation,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs refusal_heuristic,factuality,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs refusal_heuristic,false_premise,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs refusal_heuristic,general_helpfulness,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs refusal_heuristic,harmful_request,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs refusal_heuristic,persona_honesty,0,2,0,0,0,0,2,2,0.0,0.0
direct_harm_reduction vs sentiment,anti_sycophancy,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs sentiment,factuality,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs sentiment,false_premise,1,0,1,0,0,0,1,2,1.0,0.75
direct_harm_reduction vs sentiment,general_helpfulness,0,2,0,0,0,0,2,2,0.0,0.0
direct_harm_reduction vs sentiment,harmful_request,1,0,1,0,1,0,1,2,1.0,0.75
direct_harm_reduction vs sentiment,persona_honesty,1,0,0,0,0,0,1,1,1.0,1.0
