trace_id,domain,category,metric,error_step,repair_step,error_delta_at_step,repair_delta_at_step,error_drop,repair_rise,error_localization_top1,repair_localization_top1,error_top1_step,repair_top1_step
arith_discount,arithmetic,reasoning_rigor,category_axis,2,3,-0.004712339490652084,0.0010547973215579987,True,True,False,True,1,3
arith_discount,arithmetic,reasoning_rigor,combined,2,3,-0.01618017042055726,0.019494809396564963,True,True,True,True,2,3
arith_discount,arithmetic,reasoning_rigor,length,2,3,9.0,19.0,False,True,False,False,,1
arith_discount,arithmetic,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
arith_discount,arithmetic,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
arith_discount,arithmetic,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,4,4
arith_percent_increase,arithmetic,reasoning_rigor,category_axis,2,3,-0.039315976202487946,0.04237684980034828,True,True,False,True,1,3
arith_percent_increase,arithmetic,reasoning_rigor,combined,2,3,-0.04431998094078153,0.05227069285465404,True,True,True,True,2,3
arith_percent_increase,arithmetic,reasoning_rigor,length,2,3,14.0,18.0,False,True,False,False,,1
arith_percent_increase,arithmetic,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
arith_percent_increase,arithmetic,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
arith_percent_increase,arithmetic,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,4,
code_empty_list,code_reasoning,reasoning_rigor,category_axis,2,3,-0.019267212599515915,0.01271326094865799,True,True,False,False,1,4
code_empty_list,code_reasoning,reasoning_rigor,combined,2,3,0.0006011762656271402,-0.0055715133901685435,False,False,False,False,1,4
code_empty_list,code_reasoning,reasoning_rigor,length,2,3,11.0,19.0,False,True,False,False,,1
code_empty_list,code_reasoning,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
code_empty_list,code_reasoning,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
code_empty_list,code_reasoning,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,4,
code_touching_intervals,code_reasoning,reasoning_rigor,category_axis,2,3,0.02075420692563057,-0.04107815772294998,False,False,False,False,1,2
code_touching_intervals,code_reasoning,reasoning_rigor,combined,2,3,0.02732908632606268,-0.02906014956533909,False,False,False,False,1,2
code_touching_intervals,code_reasoning,reasoning_rigor,length,2,3,12.0,23.0,False,True,False,False,,1
code_touching_intervals,code_reasoning,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
code_touching_intervals,code_reasoning,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
code_touching_intervals,code_reasoning,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,4,
tool_no_match,tool_interpretation,truthfulness,category_axis,2,3,-0.0618829894810915,0.04973226971924305,True,True,True,False,2,1
tool_no_match,tool_interpretation,truthfulness,combined,2,3,-0.04461872950196266,0.040860189124941826,True,True,True,True,2,3
tool_no_match,tool_interpretation,truthfulness,length,2,3,11.0,16.0,False,True,False,False,,1
tool_no_match,tool_interpretation,truthfulness,sentiment,2,3,0.0,0.0,False,False,False,False,,
tool_no_match,tool_interpretation,truthfulness,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,,4
