trace_id,domain,category,metric,error_step,repair_step,error_delta_at_step,repair_delta_at_step,error_drop,repair_rise,error_localization_top1,repair_localization_top1,error_top1_step,repair_top1_step
arith_discount,arithmetic,reasoning_rigor,category_axis,2,3,0.007497478276491165,0.015377221629023552,False,True,False,True,1,3
arith_discount,arithmetic,reasoning_rigor,combined,2,3,0.006367521313950419,0.006522889994084836,False,True,False,True,1,3
arith_discount,arithmetic,reasoning_rigor,length,2,3,9.0,19.0,False,True,False,False,,1
arith_discount,arithmetic,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
arith_discount,arithmetic,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
arith_discount,arithmetic,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,4,
arith_percent_increase,arithmetic,reasoning_rigor,category_axis,2,3,-0.00020854920148849487,0.021034691482782364,True,True,False,True,1,3
arith_percent_increase,arithmetic,reasoning_rigor,combined,2,3,-0.004719503968954087,0.013991799252107744,True,True,False,True,1,3
arith_percent_increase,arithmetic,reasoning_rigor,length,2,3,14.0,18.0,False,True,False,False,,1
arith_percent_increase,arithmetic,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
arith_percent_increase,arithmetic,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
arith_percent_increase,arithmetic,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,4,
code_empty_list,code_reasoning,reasoning_rigor,category_axis,2,3,6.692763417959213e-05,0.0005949772894382477,False,True,False,True,4,3
code_empty_list,code_reasoning,reasoning_rigor,combined,2,3,0.0027968337293714307,-0.009885249845683576,False,False,False,False,4,2
code_empty_list,code_reasoning,reasoning_rigor,length,2,3,11.0,19.0,False,True,False,False,,1
code_empty_list,code_reasoning,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
code_empty_list,code_reasoning,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
code_empty_list,code_reasoning,reasoning_rigor,final_answer_only_combined,2,3,0.0,0.0,False,False,False,False,,
code_touching_intervals,code_reasoning,reasoning_rigor,category_axis,2,3,0.017607107758522034,0.0027095824480056763,False,True,False,False,1,2
code_touching_intervals,code_reasoning,reasoning_rigor,combined,2,3,0.020901700016111135,0.007345907855778932,False,True,False,False,1,2
code_touching_intervals,code_reasoning,reasoning_rigor,length,2,3,12.0,23.0,False,True,False,False,,1
code_touching_intervals,code_reasoning,reasoning_rigor,sentiment,2,3,0.0,0.0,False,False,False,False,,
code_touching_intervals,code_reasoning,reasoning_rigor,final_answer_only_category_axis,2,3,0.0,0.0,False,False,False,False,4,
