comparison,category,focus_wins,baseline_wins,ties,reject_both,incomplete,invalid,decided,reviewed,focus_win_rate_decided,focus_non_loss_rate_reviewed
direct_category_axis vs length,anti_sycophancy,1,0,0,0,0,0,1,1,1.0,1.0
direct_category_axis vs length,context_negation,0,1,0,0,0,0,1,1,0.0,0.0
direct_category_axis vs length,factuality,0,1,0,0,0,0,1,1,0.0,0.0
direct_category_axis vs length,false_premise,0,2,0,0,0,0,2,2,0.0,0.0
direct_category_axis vs length,general_helpfulness,0,3,0,0,0,0,3,3,0.0,0.0
direct_category_axis vs length,harmful_request,0,0,1,0,0,0,0,1,0.0,0.5
direct_category_axis vs length,persona_honesty,0,1,0,0,0,0,1,1,0.0,0.0
direct_category_axis vs random,anti_sycophancy,1,1,0,0,0,0,2,2,0.5,0.5
direct_category_axis vs random,factuality,1,0,1,0,0,0,1,2,1.0,0.75
direct_category_axis vs random,false_premise,0,1,0,0,0,0,1,1,0.0,0.0
direct_category_axis vs random,general_helpfulness,1,1,0,0,0,0,2,2,0.5,0.5
direct_category_axis vs random,harmful_request,2,0,0,0,0,0,2,2,1.0,1.0
direct_category_axis vs random,persona_honesty,0,0,1,0,0,0,0,1,0.0,0.5
direct_category_axis vs refusal_heuristic,anti_sycophancy,1,0,0,0,0,0,1,1,1.0,1.0
direct_category_axis vs refusal_heuristic,factuality,0,0,1,0,0,0,0,1,0.0,0.5
direct_category_axis vs refusal_heuristic,false_premise,0,1,0,0,0,0,1,1,0.0,0.0
direct_category_axis vs refusal_heuristic,general_helpfulness,0,0,2,0,0,0,0,2,0.0,0.5
direct_category_axis vs refusal_heuristic,harmful_request,0,3,0,0,0,0,3,3,0.0,0.0
direct_category_axis vs refusal_heuristic,persona_honesty,1,1,0,0,0,0,2,2,0.5,0.5
direct_category_axis vs sentiment,anti_sycophancy,2,0,0,0,0,0,2,2,1.0,1.0
direct_category_axis vs sentiment,factuality,1,0,0,0,0,0,1,1,1.0,1.0
direct_category_axis vs sentiment,false_premise,1,0,0,0,0,0,1,1,1.0,1.0
direct_category_axis vs sentiment,general_helpfulness,1,0,0,0,0,0,1,1,1.0,1.0
direct_category_axis vs sentiment,harmful_request,1,1,1,0,0,0,2,3,0.5,0.5
direct_category_axis vs sentiment,persona_honesty,2,0,0,0,0,0,2,2,1.0,1.0
