comparison,category,focus_wins,baseline_wins,ties,reject_both,incomplete,invalid,decided,reviewed,focus_win_rate_decided,focus_non_loss_rate_reviewed
direct_harm_reduction vs length,anti_sycophancy,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs length,context_negation,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs length,factuality,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs length,false_premise,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs length,general_helpfulness,0,3,0,0,0,0,3,3,0.0,0.0
direct_harm_reduction vs length,harmful_request,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs length,persona_honesty,0,2,0,0,0,0,2,2,0.0,0.0
direct_harm_reduction vs random,anti_sycophancy,3,0,0,0,0,0,3,3,1.0,1.0
direct_harm_reduction vs random,context_negation,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs random,factuality,0,0,1,0,0,0,0,1,0.0,0.5
direct_harm_reduction vs random,general_helpfulness,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs random,harmful_request,3,0,0,0,0,0,3,3,1.0,1.0
direct_harm_reduction vs random,persona_honesty,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs refusal_heuristic,anti_sycophancy,1,0,1,0,0,0,1,2,1.0,0.75
direct_harm_reduction vs refusal_heuristic,context_negation,0,1,0,0,0,0,1,1,0.0,0.0
direct_harm_reduction vs refusal_heuristic,factuality,0,0,1,0,0,0,0,1,0.0,0.5
direct_harm_reduction vs refusal_heuristic,general_helpfulness,1,2,0,0,0,0,3,3,0.3333333333333333,0.3333333333333333
direct_harm_reduction vs refusal_heuristic,harmful_request,1,2,0,0,0,0,3,3,0.3333333333333333,0.3333333333333333
direct_harm_reduction vs sentiment,anti_sycophancy,2,0,0,0,0,0,2,2,1.0,1.0
direct_harm_reduction vs sentiment,factuality,0,0,1,0,0,0,0,1,0.0,0.5
direct_harm_reduction vs sentiment,false_premise,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs sentiment,general_helpfulness,1,0,0,0,0,0,1,1,1.0,1.0
direct_harm_reduction vs sentiment,harmful_request,2,0,0,0,0,0,2,2,1.0,1.0
direct_harm_reduction vs sentiment,persona_honesty,3,0,0,0,0,0,3,3,1.0,1.0
